,TIME_STAMP,Number of frames dropped,FPS,Frame drop percentage
0,2022-08-12 20:09:00,0,60.0,0.0
1,2022-08-12 20:09:01,0,60.0,0.0
2,2022-08-12 20:09:02,0,60.0,0.0
3,2022-08-12 20:09:03,0,60.0,0.0
4,2022-08-12 20:09:04,0,60.0,0.0
5,2022-08-12 20:09:05,0,60.0,0.0
6,2022-08-12 20:09:06,0,60.0,0.0
7,2022-08-12 20:09:07,0,60.0,0.0
8,2022-08-12 20:09:08,0,60.0,0.0
9,2022-08-12 20:09:09,0,60.0,0.0
10,2022-08-12 20:09:10,0,60.0,0.0
11,2022-08-12 20:09:11,0,60.0,0.0
12,2022-08-12 20:09:12,0,60.0,0.0
13,2022-08-12 20:09:13,0,60.0,0.0
14,2022-08-12 20:09:14,0,60.0,0.0
15,2022-08-12 20:09:15,0,60.0,0.0
16,2022-08-12 20:09:16,0,60.0,0.0
17,2022-08-12 20:09:17,0,60.0,0.0
18,2022-08-12 20:09:18,0,60.0,0.0
19,2022-08-12 20:09:19,0,60.0,0.0
20,2022-08-12 20:09:20,0,60.0,0.0
21,2022-08-12 20:09:21,0,60.0,0.0
22,2022-08-12 20:09:22,0,60.0,0.0
23,2022-08-12 20:09:23,0,60.0,0.0
24,2022-08-12 20:09:24,0,60.0,0.0
25,2022-08-12 20:09:25,0,60.0,0.0
26,2022-08-12 20:09:26,0,60.0,0.0
27,2022-08-12 20:09:27,0,60.0,0.0
28,2022-08-12 20:09:28,0,60.0,0.0
29,2022-08-12 20:09:29,0,60.0,0.0
30,2022-08-12 20:09:30,0,60.0,0.0
31,2022-08-12 20:09:31,0,60.0,0.0
32,2022-08-12 20:09:32,0,60.0,0.0
33,2022-08-12 20:09:33,0,60.0,0.0
34,2022-08-12 20:09:34,0,60.0,0.0
35,2022-08-12 20:09:35,0,60.0,0.0
36,2022-08-12 20:09:36,0,60.0,0.0
37,2022-08-12 20:09:37,0,60.0,0.0
38,2022-08-12 20:09:38,0,60.0,0.0
39,2022-08-12 20:09:39,0,60.0,0.0
40,2022-08-12 20:09:40,0,60.0,0.0
41,2022-08-12 20:09:41,0,60.0,0.0
42,2022-08-12 20:09:42,0,60.0,0.0
43,2022-08-12 20:09:43,0,60.0,0.0
44,2022-08-12 20:09:44,0,60.0,0.0
45,2022-08-12 20:09:45,0,60.0,0.0
46,2022-08-12 20:09:46,0,60.0,0.0
47,2022-08-12 20:09:47,0,60.0,0.0
48,2022-08-12 20:09:48,0,60.0,0.0
49,2022-08-12 20:09:49,0,60.0,0.0
50,2022-08-12 20:09:50,0,60.0,0.0
51,2022-08-12 20:09:51,0,60.0,0.0
52,2022-08-12 20:09:52,0,60.0,0.0
53,2022-08-12 20:09:53,0,60.0,0.0
54,2022-08-12 20:09:54,0,60.0,0.0
55,2022-08-12 20:09:55,0,60.0,0.0
56,2022-08-12 20:09:56,0,60.0,0.0
57,2022-08-12 20:09:57,0,60.0,0.0
58,2022-08-12 20:09:58,0,60.0,0.0
59,2022-08-12 20:09:59,0,60.0,0.0
60,2022-08-12 20:10:00,0,60.0,0.0
61,2022-08-12 20:10:01,0,60.0,0.0
62,2022-08-12 20:10:02,0,60.0,0.0
63,2022-08-12 20:10:03,0,60.0,0.0
64,2022-08-12 20:10:04,0,60.0,0.0
65,2022-08-12 20:10:05,0,60.0,0.0
66,2022-08-12 20:10:06,0,60.0,0.0
67,2022-08-12 20:10:07,0,60.0,0.0
68,2022-08-12 20:10:08,0,60.0,0.0
69,2022-08-12 20:10:09,0,60.0,0.0
70,2022-08-12 20:10:10,0,60.0,0.0
71,2022-08-12 20:10:11,0,60.0,0.0
72,2022-08-12 20:10:12,0,60.0,0.0
73,2022-08-12 20:10:13,0,60.0,0.0
74,2022-08-12 20:10:14,0,60.0,0.0
