,TIME_STAMP,Number of frames dropped,FPS,Frame drop percentage
0,2022-08-13 18:13:12,0,60.0,0.0
1,2022-08-13 18:13:13,36,60.0,60.0
2,2022-08-13 18:13:14,2,60.0,3.3333333333333335
3,2022-08-13 18:13:15,71,60.0,118.33333333333333
4,2022-08-13 18:13:16,0,60.0,0.0
5,2022-08-13 18:13:17,0,60.0,0.0
6,2022-08-13 18:13:18,0,60.0,0.0
7,2022-08-13 18:13:19,0,60.0,0.0
8,2022-08-13 18:13:20,0,60.0,0.0
9,2022-08-13 18:13:21,0,60.0,0.0
10,2022-08-13 18:13:22,0,60.0,0.0
11,2022-08-13 18:13:23,0,60.0,0.0
12,2022-08-13 18:13:24,0,60.0,0.0
13,2022-08-13 18:13:25,0,60.0,0.0
14,2022-08-13 18:13:26,0,60.0,0.0
15,2022-08-13 18:13:27,0,60.0,0.0
16,2022-08-13 18:13:28,0,60.0,0.0
17,2022-08-13 18:13:29,0,60.0,0.0
18,2022-08-13 18:13:30,0,60.0,0.0
19,2022-08-13 18:13:31,0,60.0,0.0
20,2022-08-13 18:13:32,0,60.0,0.0
21,2022-08-13 18:13:33,0,60.0,0.0
22,2022-08-13 18:13:34,0,60.0,0.0
23,2022-08-13 18:13:35,0,60.0,0.0
24,2022-08-13 18:13:36,0,60.0,0.0
25,2022-08-13 18:13:37,0,60.0,0.0
26,2022-08-13 18:13:38,0,60.0,0.0
27,2022-08-13 18:13:39,0,60.0,0.0
28,2022-08-13 18:13:40,0,60.0,0.0
29,2022-08-13 18:13:41,0,60.0,0.0
30,2022-08-13 18:13:42,0,60.0,0.0
31,2022-08-13 18:13:43,0,60.0,0.0
32,2022-08-13 18:13:44,0,60.0,0.0
33,2022-08-13 18:13:45,0,60.0,0.0
34,2022-08-13 18:13:46,0,60.0,0.0
35,2022-08-13 18:13:47,0,60.0,0.0
36,2022-08-13 18:13:48,0,60.0,0.0
37,2022-08-13 18:13:49,0,60.0,0.0
38,2022-08-13 18:13:50,0,60.0,0.0
39,2022-08-13 18:13:51,0,60.0,0.0
40,2022-08-13 18:13:52,0,60.0,0.0
41,2022-08-13 18:13:53,0,60.0,0.0
42,2022-08-13 18:13:54,0,60.0,0.0
43,2022-08-13 18:13:55,0,60.0,0.0
44,2022-08-13 18:13:56,0,60.0,0.0
45,2022-08-13 18:13:57,0,60.0,0.0
46,2022-08-13 18:13:58,0,60.0,0.0
47,2022-08-13 18:13:59,0,60.0,0.0
48,2022-08-13 18:14:00,0,60.0,0.0
49,2022-08-13 18:14:01,0,60.0,0.0
50,2022-08-13 18:14:02,0,60.0,0.0
51,2022-08-13 18:14:03,0,60.0,0.0
52,2022-08-13 18:14:04,0,60.0,0.0
53,2022-08-13 18:14:05,0,60.0,0.0
54,2022-08-13 18:14:06,0,60.0,0.0
55,2022-08-13 18:14:07,0,60.0,0.0
56,2022-08-13 18:14:08,0,60.0,0.0
57,2022-08-13 18:14:09,0,60.0,0.0
58,2022-08-13 18:14:10,0,60.0,0.0
59,2022-08-13 18:14:11,0,60.0,0.0
60,2022-08-13 18:14:12,0,60.0,0.0
61,2022-08-13 18:14:13,0,60.0,0.0
62,2022-08-13 18:14:14,0,60.0,0.0
63,2022-08-13 18:14:15,0,60.0,0.0
64,2022-08-13 18:14:16,0,60.0,0.0
65,2022-08-13 18:14:17,0,60.0,0.0
66,2022-08-13 18:14:18,0,60.0,0.0
67,2022-08-13 18:14:19,0,60.0,0.0
68,2022-08-13 18:14:20,0,60.0,0.0
69,2022-08-13 18:14:21,0,60.0,0.0
70,2022-08-13 18:14:22,0,60.0,0.0
71,2022-08-13 18:14:23,0,60.0,0.0
72,2022-08-13 18:14:24,0,60.0,0.0
73,2022-08-13 18:14:25,0,60.0,0.0
74,2022-08-13 18:14:26,0,60.0,0.0
75,2022-08-13 18:14:27,0,60.0,0.0
76,2022-08-13 18:14:28,0,60.0,0.0
77,2022-08-13 18:14:29,0,60.0,0.0
78,2022-08-13 18:14:30,0,60.0,0.0
79,2022-08-13 18:14:31,0,60.0,0.0
80,2022-08-13 18:14:32,0,60.0,0.0
81,2022-08-13 18:14:33,0,60.0,0.0
82,2022-08-13 18:14:34,0,60.0,0.0
83,2022-08-13 18:14:35,0,60.0,0.0
84,2022-08-13 18:14:36,0,60.0,0.0
85,2022-08-13 18:14:37,0,60.0,0.0
86,2022-08-13 18:14:38,0,60.0,0.0
87,2022-08-13 18:14:39,28,60.0,46.666666666666664
88,2022-08-13 18:14:40,0,60.0,0.0
89,2022-08-13 18:14:41,0,60.0,0.0
90,2022-08-13 18:14:42,0,60.0,0.0
91,2022-08-13 18:14:43,0,60.0,0.0
92,2022-08-13 18:14:44,0,60.0,0.0
93,2022-08-13 18:14:45,0,60.0,0.0
94,2022-08-13 18:14:46,0,60.0,0.0
95,2022-08-13 18:14:47,0,60.0,0.0
