,TIME_STAMP,Number of frames dropped,FPS,Frame drop percentage
80,2022-08-10 17:03:32,0,60.0,0.0
81,2022-08-10 17:03:33,0,60.0,0.0
82,2022-08-10 17:03:34,0,60.0,0.0
83,2022-08-10 17:03:35,0,60.0,0.0
84,2022-08-10 17:03:36,0,60.0,0.0
85,2022-08-10 17:03:37,0,60.0,0.0
86,2022-08-10 17:03:38,0,60.0,0.0
87,2022-08-10 17:03:39,0,60.0,0.0
88,2022-08-10 17:03:40,0,60.0,0.0
89,2022-08-10 17:03:41,0,60.0,0.0
90,2022-08-10 17:03:42,0,60.0,0.0
91,2022-08-10 17:03:43,0,60.0,0.0
92,2022-08-10 17:03:44,0,60.0,0.0
93,2022-08-10 17:03:45,0,60.0,0.0
94,2022-08-10 17:03:46,0,60.0,0.0
95,2022-08-10 17:03:47,0,60.0,0.0
96,2022-08-10 17:03:48,0,60.0,0.0
97,2022-08-10 17:03:49,0,60.0,0.0
98,2022-08-10 17:03:50,0,60.0,0.0
99,2022-08-10 17:03:51,0,60.0,0.0
100,2022-08-10 17:03:52,0,60.0,0.0
101,2022-08-10 17:03:53,0,60.0,0.0
102,2022-08-10 17:03:54,0,60.0,0.0
103,2022-08-10 17:03:55,0,60.0,0.0
104,2022-08-10 17:03:56,0,60.0,0.0
105,2022-08-10 17:03:57,0,60.0,0.0
106,2022-08-10 17:03:58,0,60.0,0.0
107,2022-08-10 17:03:59,0,60.0,0.0
108,2022-08-10 17:04:00,0,60.0,0.0
109,2022-08-10 17:04:01,0,60.0,0.0
110,2022-08-10 17:04:02,0,60.0,0.0
111,2022-08-10 17:04:03,0,60.0,0.0
112,2022-08-10 17:04:04,0,60.0,0.0
113,2022-08-10 17:04:05,0,60.0,0.0
114,2022-08-10 17:04:06,0,60.0,0.0
115,2022-08-10 17:04:07,0,60.0,0.0
116,2022-08-10 17:04:08,0,60.0,0.0
117,2022-08-10 17:04:09,0,60.0,0.0
118,2022-08-10 17:04:10,0,60.0,0.0
119,2022-08-10 17:04:11,0,60.0,0.0
120,2022-08-10 17:04:12,0,60.0,0.0
121,2022-08-10 17:04:13,0,60.0,0.0
122,2022-08-10 17:04:14,0,60.0,0.0
123,2022-08-10 17:04:15,0,60.0,0.0
124,2022-08-10 17:04:16,0,60.0,0.0
125,2022-08-10 17:04:17,0,60.0,0.0
126,2022-08-10 17:04:18,0,60.0,0.0
127,2022-08-10 17:04:19,0,60.0,0.0
128,2022-08-10 17:04:20,0,60.0,0.0
129,2022-08-10 17:04:21,0,60.0,0.0
130,2022-08-10 17:04:22,0,60.0,0.0
131,2022-08-10 17:04:23,0,60.0,0.0
132,2022-08-10 17:04:24,0,60.0,0.0
133,2022-08-10 17:04:25,0,60.0,0.0
134,2022-08-10 17:04:26,0,60.0,0.0
135,2022-08-10 17:04:27,0,60.0,0.0
136,2022-08-10 17:04:28,0,60.0,0.0
137,2022-08-10 17:04:29,0,60.0,0.0
138,2022-08-10 17:04:30,0,60.0,0.0
139,2022-08-10 17:04:31,0,60.0,0.0
140,2022-08-10 17:04:32,0,60.0,0.0
141,2022-08-10 17:04:33,0,60.0,0.0
142,2022-08-10 17:04:34,0,60.0,0.0
143,2022-08-10 17:04:35,0,60.0,0.0
144,2022-08-10 17:04:36,0,60.0,0.0
145,2022-08-10 17:04:37,0,60.0,0.0
146,2022-08-10 17:04:38,0,60.0,0.0
147,2022-08-10 17:04:39,0,60.0,0.0
148,2022-08-10 17:04:40,0,60.0,0.0
149,2022-08-10 17:04:41,0,60.0,0.0
150,2022-08-10 17:04:42,0,60.0,0.0
151,2022-08-10 17:04:43,0,60.0,0.0
152,2022-08-10 17:04:44,0,60.0,0.0
153,2022-08-10 17:04:45,0,60.0,0.0
154,2022-08-10 17:04:46,0,60.0,0.0
155,2022-08-10 17:04:47,0,60.0,0.0
156,2022-08-10 17:04:48,0,60.0,0.0
157,2022-08-10 17:04:49,0,60.0,0.0
158,2022-08-10 17:04:50,0,60.0,0.0
159,2022-08-10 17:04:51,0,60.0,0.0
160,2022-08-10 17:04:52,0,60.0,0.0
161,2022-08-10 17:04:53,0,60.0,0.0
162,2022-08-10 17:04:54,0,60.0,0.0
163,2022-08-10 17:04:55,0,60.0,0.0
164,2022-08-10 17:04:56,0,60.0,0.0
165,2022-08-10 17:04:57,0,60.0,0.0
166,2022-08-10 17:04:58,0,60.0,0.0
167,2022-08-10 17:04:59,0,60.0,0.0
168,2022-08-10 17:05:00,0,60.0,0.0
169,2022-08-10 17:05:01,0,60.0,0.0
170,2022-08-10 17:05:02,0,60.0,0.0
171,2022-08-10 17:05:03,0,60.0,0.0
172,2022-08-10 17:05:04,0,60.0,0.0
173,2022-08-10 17:05:05,0,60.0,0.0
174,2022-08-10 17:05:06,0,60.0,0.0
175,2022-08-10 17:05:07,0,60.0,0.0
176,2022-08-10 17:05:08,0,60.0,0.0
177,2022-08-10 17:05:09,0,60.0,0.0
178,2022-08-10 17:05:10,0,60.0,0.0
179,2022-08-10 17:05:11,0,60.0,0.0
180,2022-08-10 17:05:12,0,60.0,0.0
181,2022-08-10 17:05:13,0,60.0,0.0
182,2022-08-10 17:05:14,0,60.0,0.0
183,2022-08-10 17:05:15,0,60.0,0.0
184,2022-08-10 17:05:16,0,60.0,0.0
185,2022-08-10 17:05:17,0,60.0,0.0
186,2022-08-10 17:05:18,0,60.0,0.0
187,2022-08-10 17:05:19,0,60.0,0.0
188,2022-08-10 17:05:20,0,60.0,0.0
189,2022-08-10 17:05:21,0,60.0,0.0
190,2022-08-10 17:05:22,0,60.0,0.0
191,2022-08-10 17:05:23,0,60.0,0.0
192,2022-08-10 17:05:24,0,60.0,0.0
193,2022-08-10 17:05:25,0,60.0,0.0
194,2022-08-10 17:05:26,0,60.0,0.0
195,2022-08-10 17:05:27,0,60.0,0.0
196,2022-08-10 17:05:28,0,60.0,0.0
197,2022-08-10 17:05:29,0,60.0,0.0
198,2022-08-10 17:05:30,0,60.0,0.0
