,TIME_STAMP,Number of frames dropped,FPS,Frame drop percentage
0,2022-08-12 15:38:51,0,60.0,0.0
1,2022-08-12 15:38:52,0,60.0,0.0
2,2022-08-12 15:38:53,35,60.0,58.333333333333336
3,2022-08-12 15:38:54,36,60.0,60.0
4,2022-08-12 15:38:55,0,60.0,0.0
5,2022-08-12 15:38:56,0,60.0,0.0
6,2022-08-12 15:38:57,0,60.0,0.0
7,2022-08-12 15:38:58,0,60.0,0.0
8,2022-08-12 15:38:59,0,60.0,0.0
9,2022-08-12 15:39:00,0,60.0,0.0
10,2022-08-12 15:39:01,0,60.0,0.0
11,2022-08-12 15:39:02,0,60.0,0.0
12,2022-08-12 15:39:03,0,60.0,0.0
13,2022-08-12 15:39:04,0,60.0,0.0
14,2022-08-12 15:39:05,0,60.0,0.0
15,2022-08-12 15:39:06,0,60.0,0.0
16,2022-08-12 15:39:07,0,60.0,0.0
17,2022-08-12 15:39:08,0,60.0,0.0
18,2022-08-12 15:39:09,0,60.0,0.0
19,2022-08-12 15:39:10,0,60.0,0.0
20,2022-08-12 15:39:11,0,60.0,0.0
21,2022-08-12 15:39:12,0,60.0,0.0
22,2022-08-12 15:39:13,0,60.0,0.0
23,2022-08-12 15:39:14,0,60.0,0.0
24,2022-08-12 15:39:15,0,60.0,0.0
25,2022-08-12 15:39:16,0,60.0,0.0
26,2022-08-12 15:39:17,0,60.0,0.0
27,2022-08-12 15:39:18,0,60.0,0.0
28,2022-08-12 15:39:19,0,60.0,0.0
29,2022-08-12 15:39:20,0,60.0,0.0
30,2022-08-12 15:39:21,0,60.0,0.0
31,2022-08-12 15:39:22,0,60.0,0.0
32,2022-08-12 15:39:23,0,60.0,0.0
33,2022-08-12 15:39:24,0,60.0,0.0
34,2022-08-12 15:39:25,0,60.0,0.0
35,2022-08-12 15:39:26,0,60.0,0.0
36,2022-08-12 15:39:27,0,60.0,0.0
37,2022-08-12 15:39:28,0,60.0,0.0
38,2022-08-12 15:39:29,0,60.0,0.0
39,2022-08-12 15:39:30,0,60.0,0.0
40,2022-08-12 15:39:31,0,60.0,0.0
41,2022-08-12 15:39:32,0,60.0,0.0
42,2022-08-12 15:39:33,0,60.0,0.0
43,2022-08-12 15:39:34,0,60.0,0.0
44,2022-08-12 15:39:35,0,60.0,0.0
45,2022-08-12 15:39:36,0,60.0,0.0
46,2022-08-12 15:39:37,0,60.0,0.0
47,2022-08-12 15:39:38,0,60.0,0.0
48,2022-08-12 15:39:39,0,60.0,0.0
49,2022-08-12 15:39:40,0,60.0,0.0
50,2022-08-12 15:39:41,0,60.0,0.0
51,2022-08-12 15:39:42,0,60.0,0.0
52,2022-08-12 15:39:43,0,60.0,0.0
53,2022-08-12 15:39:44,0,60.0,0.0
54,2022-08-12 15:39:45,0,60.0,0.0
55,2022-08-12 15:39:46,0,60.0,0.0
56,2022-08-12 15:39:47,0,60.0,0.0
57,2022-08-12 15:39:48,0,60.0,0.0
58,2022-08-12 15:39:49,0,60.0,0.0
59,2022-08-12 15:39:50,0,60.0,0.0
60,2022-08-12 15:39:51,0,60.0,0.0
61,2022-08-12 15:39:52,0,60.0,0.0
62,2022-08-12 15:39:53,0,60.0,0.0
63,2022-08-12 15:39:54,0,60.0,0.0
64,2022-08-12 15:39:55,0,60.0,0.0
65,2022-08-12 15:39:56,0,60.0,0.0
66,2022-08-12 15:39:57,0,60.0,0.0
67,2022-08-12 15:39:58,0,60.0,0.0
68,2022-08-12 15:39:59,0,60.0,0.0
69,2022-08-12 15:40:00,0,60.0,0.0
70,2022-08-12 15:40:01,0,60.0,0.0
71,2022-08-12 15:40:02,0,60.0,0.0
72,2022-08-12 15:40:03,0,60.0,0.0
73,2022-08-12 15:40:04,0,60.0,0.0
74,2022-08-12 15:40:05,0,60.0,0.0
75,2022-08-12 15:40:06,0,60.0,0.0
76,2022-08-12 15:40:07,0,60.0,0.0
77,2022-08-12 15:40:08,0,60.0,0.0
78,2022-08-12 15:40:09,0,60.0,0.0
79,2022-08-12 15:40:10,0,60.0,0.0
80,2022-08-12 15:40:11,0,60.0,0.0
81,2022-08-12 15:40:12,0,60.0,0.0
82,2022-08-12 15:40:13,0,60.0,0.0
83,2022-08-12 15:40:14,0,60.0,0.0
84,2022-08-12 15:40:15,0,60.0,0.0
85,2022-08-12 15:40:16,0,60.0,0.0
86,2022-08-12 15:40:17,0,60.0,0.0
87,2022-08-12 15:40:18,0,60.0,0.0
88,2022-08-12 15:40:19,0,60.0,0.0
89,2022-08-12 15:40:20,0,60.0,0.0
90,2022-08-12 15:40:21,0,60.0,0.0
91,2022-08-12 15:40:22,0,60.0,0.0
92,2022-08-12 15:40:23,0,60.0,0.0
93,2022-08-12 15:40:24,0,60.0,0.0
94,2022-08-12 15:40:25,0,60.0,0.0
95,2022-08-12 15:40:26,0,60.0,0.0
96,2022-08-12 15:40:27,0,60.0,0.0
97,2022-08-12 15:40:28,0,60.0,0.0
98,2022-08-12 15:40:29,0,60.0,0.0
99,2022-08-12 15:40:30,0,60.0,0.0
100,2022-08-12 15:40:31,0,60.0,0.0
101,2022-08-12 15:40:32,0,60.0,0.0
102,2022-08-12 15:40:33,0,60.0,0.0
103,2022-08-12 15:40:34,0,60.0,0.0
104,2022-08-12 15:40:35,0,60.0,0.0
105,2022-08-12 15:40:36,0,60.0,0.0
106,2022-08-12 15:40:37,0,60.0,0.0
107,2022-08-12 15:40:38,0,60.0,0.0
108,2022-08-12 15:40:39,0,60.0,0.0
109,2022-08-12 15:40:40,0,60.0,0.0
110,2022-08-12 15:40:41,0,60.0,0.0
111,2022-08-12 15:40:42,0,60.0,0.0
112,2022-08-12 15:40:43,0,60.0,0.0
113,2022-08-12 15:40:44,0,60.0,0.0
114,2022-08-12 15:40:45,0,60.0,0.0
115,2022-08-12 15:40:46,0,60.0,0.0
116,2022-08-12 15:40:47,0,60.0,0.0
117,2022-08-12 15:40:48,0,60.0,0.0
118,2022-08-12 15:40:49,0,60.0,0.0
119,2022-08-12 15:40:50,0,60.0,0.0
120,2022-08-12 15:40:51,0,60.0,0.0
121,2022-08-12 15:40:52,0,60.0,0.0
122,2022-08-12 15:40:53,0,60.0,0.0
123,2022-08-12 15:40:54,0,60.0,0.0
124,2022-08-12 15:40:55,0,60.0,0.0
125,2022-08-12 15:40:56,0,60.0,0.0
126,2022-08-12 15:40:57,0,60.0,0.0
127,2022-08-12 15:40:58,0,60.0,0.0
128,2022-08-12 15:40:59,0,60.0,0.0
