PING 3.19.94.93 (3.19.94.93) 38(66) bytes of data.
46 bytes from 3.19.94.93: icmp_seq=1 ttl=37 time=1085 ms
46 bytes from 3.19.94.93: icmp_seq=3 ttl=37 time=670 ms
46 bytes from 3.19.94.93: icmp_seq=2 ttl=37 time=878 ms
46 bytes from 3.19.94.93: icmp_seq=4 ttl=37 time=470 ms
46 bytes from 3.19.94.93: icmp_seq=5 ttl=37 time=264 ms
46 bytes from 3.19.94.93: icmp_seq=6 ttl=37 time=56.2 ms
46 bytes from 3.19.94.93: icmp_seq=7 ttl=37 time=54.7 ms
46 bytes from 3.19.94.93: icmp_seq=8 ttl=37 time=54.7 ms
46 bytes from 3.19.94.93: icmp_seq=9 ttl=37 time=56.9 ms
46 bytes from 3.19.94.93: icmp_seq=10 ttl=37 time=53.5 ms
46 bytes from 3.19.94.93: icmp_seq=11 ttl=37 time=63.5 ms
46 bytes from 3.19.94.93: icmp_seq=12 ttl=37 time=70.5 ms
46 bytes from 3.19.94.93: icmp_seq=13 ttl=37 time=51.4 ms
46 bytes from 3.19.94.93: icmp_seq=14 ttl=37 time=49.4 ms
46 bytes from 3.19.94.93: icmp_seq=15 ttl=37 time=48.3 ms
46 bytes from 3.19.94.93: icmp_seq=16 ttl=37 time=46.6 ms
46 bytes from 3.19.94.93: icmp_seq=17 ttl=37 time=47.5 ms
46 bytes from 3.19.94.93: icmp_seq=18 ttl=37 time=64.1 ms
46 bytes from 3.19.94.93: icmp_seq=19 ttl=37 time=65.3 ms
46 bytes from 3.19.94.93: icmp_seq=20 ttl=37 time=54.5 ms
46 bytes from 3.19.94.93: icmp_seq=21 ttl=37 time=62.6 ms
46 bytes from 3.19.94.93: icmp_seq=22 ttl=37 time=63.4 ms
46 bytes from 3.19.94.93: icmp_seq=23 ttl=37 time=51.4 ms
46 bytes from 3.19.94.93: icmp_seq=24 ttl=37 time=77.9 ms
46 bytes from 3.19.94.93: icmp_seq=25 ttl=37 time=69.6 ms
46 bytes from 3.19.94.93: icmp_seq=26 ttl=37 time=56.6 ms
46 bytes from 3.19.94.93: icmp_seq=27 ttl=37 time=59.8 ms
46 bytes from 3.19.94.93: icmp_seq=28 ttl=37 time=50.6 ms
46 bytes from 3.19.94.93: icmp_seq=29 ttl=37 time=60.4 ms
46 bytes from 3.19.94.93: icmp_seq=30 ttl=37 time=95.3 ms
46 bytes from 3.19.94.93: icmp_seq=31 ttl=37 time=58.5 ms
46 bytes from 3.19.94.93: icmp_seq=32 ttl=37 time=101 ms
46 bytes from 3.19.94.93: icmp_seq=33 ttl=37 time=83.8 ms
46 bytes from 3.19.94.93: icmp_seq=34 ttl=37 time=65.6 ms
46 bytes from 3.19.94.93: icmp_seq=35 ttl=37 time=65.4 ms
46 bytes from 3.19.94.93: icmp_seq=36 ttl=37 time=60.1 ms
46 bytes from 3.19.94.93: icmp_seq=37 ttl=37 time=62.2 ms
46 bytes from 3.19.94.93: icmp_seq=38 ttl=37 time=61.3 ms
46 bytes from 3.19.94.93: icmp_seq=39 ttl=37 time=51.3 ms
46 bytes from 3.19.94.93: icmp_seq=40 ttl=37 time=54.2 ms
46 bytes from 3.19.94.93: icmp_seq=41 ttl=37 time=48.4 ms
46 bytes from 3.19.94.93: icmp_seq=42 ttl=37 time=51.6 ms
46 bytes from 3.19.94.93: icmp_seq=43 ttl=37 time=50.1 ms
46 bytes from 3.19.94.93: icmp_seq=44 ttl=37 time=66.4 ms
46 bytes from 3.19.94.93: icmp_seq=45 ttl=37 time=48.3 ms
46 bytes from 3.19.94.93: icmp_seq=46 ttl=37 time=65.3 ms
46 bytes from 3.19.94.93: icmp_seq=47 ttl=37 time=59.3 ms
46 bytes from 3.19.94.93: icmp_seq=48 ttl=37 time=52.5 ms
46 bytes from 3.19.94.93: icmp_seq=49 ttl=37 time=62.6 ms
46 bytes from 3.19.94.93: icmp_seq=50 ttl=37 time=60.7 ms
46 bytes from 3.19.94.93: icmp_seq=51 ttl=37 time=58.4 ms
46 bytes from 3.19.94.93: icmp_seq=52 ttl=37 time=54.0 ms
46 bytes from 3.19.94.93: icmp_seq=53 ttl=37 time=50.2 ms
46 bytes from 3.19.94.93: icmp_seq=54 ttl=37 time=76.3 ms
46 bytes from 3.19.94.93: icmp_seq=55 ttl=37 time=52.4 ms
46 bytes from 3.19.94.93: icmp_seq=56 ttl=37 time=55.1 ms
46 bytes from 3.19.94.93: icmp_seq=57 ttl=37 time=56.3 ms
46 bytes from 3.19.94.93: icmp_seq=58 ttl=37 time=53.4 ms
46 bytes from 3.19.94.93: icmp_seq=59 ttl=37 time=68.5 ms
46 bytes from 3.19.94.93: icmp_seq=60 ttl=37 time=52.2 ms
46 bytes from 3.19.94.93: icmp_seq=61 ttl=37 time=61.4 ms
46 bytes from 3.19.94.93: icmp_seq=62 ttl=37 time=58.7 ms
46 bytes from 3.19.94.93: icmp_seq=63 ttl=37 time=73.1 ms
46 bytes from 3.19.94.93: icmp_seq=64 ttl=37 time=50.6 ms
46 bytes from 3.19.94.93: icmp_seq=65 ttl=37 time=59.3 ms
46 bytes from 3.19.94.93: icmp_seq=66 ttl=37 time=48.4 ms
46 bytes from 3.19.94.93: icmp_seq=67 ttl=37 time=49.5 ms
46 bytes from 3.19.94.93: icmp_seq=68 ttl=37 time=57.4 ms
46 bytes from 3.19.94.93: icmp_seq=69 ttl=37 time=60.5 ms
46 bytes from 3.19.94.93: icmp_seq=70 ttl=37 time=58.4 ms
46 bytes from 3.19.94.93: icmp_seq=71 ttl=37 time=65.2 ms
46 bytes from 3.19.94.93: icmp_seq=72 ttl=37 time=57.5 ms
46 bytes from 3.19.94.93: icmp_seq=73 ttl=37 time=52.4 ms
46 bytes from 3.19.94.93: icmp_seq=74 ttl=37 time=62.5 ms
46 bytes from 3.19.94.93: icmp_seq=75 ttl=37 time=52.9 ms
46 bytes from 3.19.94.93: icmp_seq=76 ttl=37 time=54.5 ms
46 bytes from 3.19.94.93: icmp_seq=77 ttl=37 time=51.4 ms
46 bytes from 3.19.94.93: icmp_seq=78 ttl=37 time=68.3 ms
46 bytes from 3.19.94.93: icmp_seq=79 ttl=37 time=58.4 ms
46 bytes from 3.19.94.93: icmp_seq=80 ttl=37 time=50.5 ms
46 bytes from 3.19.94.93: icmp_seq=81 ttl=37 time=55.2 ms
46 bytes from 3.19.94.93: icmp_seq=82 ttl=37 time=46.4 ms
46 bytes from 3.19.94.93: icmp_seq=83 ttl=37 time=65.5 ms
46 bytes from 3.19.94.93: icmp_seq=84 ttl=37 time=56.4 ms
46 bytes from 3.19.94.93: icmp_seq=85 ttl=37 time=56.1 ms
46 bytes from 3.19.94.93: icmp_seq=86 ttl=37 time=54.2 ms
46 bytes from 3.19.94.93: icmp_seq=87 ttl=37 time=54.3 ms
46 bytes from 3.19.94.93: icmp_seq=88 ttl=37 time=53.3 ms
46 bytes from 3.19.94.93: icmp_seq=89 ttl=37 time=53.4 ms
46 bytes from 3.19.94.93: icmp_seq=90 ttl=37 time=62.4 ms
46 bytes from 3.19.94.93: icmp_seq=91 ttl=37 time=46.3 ms
46 bytes from 3.19.94.93: icmp_seq=92 ttl=37 time=57.5 ms
46 bytes from 3.19.94.93: icmp_seq=93 ttl=37 time=60.3 ms
46 bytes from 3.19.94.93: icmp_seq=94 ttl=37 time=48.3 ms
46 bytes from 3.19.94.93: icmp_seq=95 ttl=37 time=50.2 ms
46 bytes from 3.19.94.93: icmp_seq=96 ttl=37 time=58.3 ms
46 bytes from 3.19.94.93: icmp_seq=97 ttl=37 time=47.6 ms
46 bytes from 3.19.94.93: icmp_seq=98 ttl=37 time=51.2 ms
46 bytes from 3.19.94.93: icmp_seq=99 ttl=37 time=58.4 ms
46 bytes from 3.19.94.93: icmp_seq=100 ttl=37 time=64.3 ms

--- 3.19.94.93 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 19911ms
rtt min/avg/max/mdev = 46.356/89.136/1085.102/149.201 ms, pipe 6
