,TIME_STAMP,Lon,Lat,GPS Lon,GPS Lat,GPS Time,GPS Head,GPS Speed (km/h),GPS Speed(Complement),GPS Distance (m),GPS Source,GPS Data Ind,GPS Area,Event Technology,Event Port Number,LTE KPI Chip Type,LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,LTE KPI PCell Serving EARFCN(DL),LTE KPI PCell Serving EARFCN(UL),LTE KPI PCell Serving BandWidth(DL),LTE KPI PCell Serving BandWidth(UL),LTE KPI PCell Serving RSRP[dBm],LTE KPI PCell Serving RSRQ[dB],LTE KPI PCell Serving RSSI[dBm],LTE KPI PCell PUSCH Power[dBm],LTE KPI PCell PUCCH Power[dBm],LTE KPI PCell Total Tx Power[dBm],LTE KPI PCell SINR[dB],LTE KPI PCell WB CQI CW0,LTE KPI PCell WB CQI CW1,LTE KPI PCell WB RI,LTE KPI PCell WB RI1 Rate,LTE KPI PCell WB RI2 Rate,LTE KPI PCell WB RI3 Rate,LTE KPI PCell WB RI4 Rate,LTE KPI PCell Tx Mode,LTE KPI PCell WB PMI 0,LTE KPI PCell M(Tx) x N(Rx) Ant,LTE KPI PCell DL MCS0,LTE KPI PCell UL MCS,LTE KPI PCell DL Modulation0,LTE KPI PCell UL Modulation,LTE KPI Pcell PDSCH PRB Number(Avg),LTE KPI PCell PUSCH PRB Number(Avg),LTE KPI PCell PDSCH PRB Number(Including 0),LTE KPI PCell PDSCH PRB Number TB0(Including 0),LTE KPI PCell PDSCH PRB Number TB1(Including 0),LTE KPI PCell PUSCH PRB Number(Including 0),LTE KPI PCell PDSCH BLER[%],LTE KPI PCell PUSCH BLER[%],LTE KPI PCell PDSCH Throughput[Mbps],LTE KPI PCell PUSCH Throughput[Mbps],LTE KPI PCell MAC DL Throughput[Mbps],LTE KPI PCell MAC UL Throughput[Mbps],LTE KPI PDSCH PRB Number(Avg)(Total),LTE KPI PUSCH PRB Number(Avg)(Total),LTE KPI PDSCH PRB Number(Including 0)(Total),LTE KPI PUSCH PRB Number(Including 0)(Total),LTE KPI PDSCH BLER[%],LTE KPI PUSCH BLER[%],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],LTE KPI MAC DL Throughput[Mbps],LTE KPI MAC UL Throughput[Mbps],LTE KPI RLC DL Throughput[Mbps],LTE KPI RLC UL Throughput[Mbps],LTE KPI PDCP DL Throughput[Mbps],LTE KPI PDCP UL Throughput[Mbps],LTE KPI CA Type,LTE KPI UL CA Type,LTE KPI Band Combination,5G KPI PCell Chip Type,5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving PCI MOD 3,5G KPI PCell RF Serving PCI MOD 4,5G KPI PCell RF Serving PCI MOD 12,5G KPI PCell RF Serving PCI MOD 30,5G KPI PCell RF NR-ARFCN,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Subcarrier Spacing,5G KPI PCell RF Tx Beam ID 0,5G KPI PCell RF Serving PCI-SSB Idx,5G KPI PCell RF Serving SSB Idx,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI PCell RF Serving SS-RSRQ [dB],5G KPI PCell RF Serving SS-SINR [dB],5G KPI PCell RF Best Beam SSB Idx,5G KPI PCell RF Best Beam SS-RSRP [dBm],5G KPI PCell RF Best Beam SS-RSRQ [dB],5G KPI PCell RF Best Beam State,5G KPI PCell RF Pathloss [dB],5G KPI PCell RF RI,5G KPI PCell RF RI1 Rate [%],5G KPI PCell RF RI2 Rate [%],5G KPI PCell RF RI3 Rate [%],5G KPI PCell RF RI4 Rate [%],5G KPI PCell RF CQI,5G KPI PCell RF PMI i(2),5G KPI PCell RF LI,5G KPI PCell RF LI1 Rate,5G KPI PCell RF LI2 Rate,5G KPI PCell RF LI3 Rate,5G KPI PCell RF LI4 Rate,5G KPI PCell RF CRI,5G KPI PCell RF PUSCH Power [dBm],5G KPI PCell RF PUCCH Power [dBm],5G KPI PCell RF ENDC Tx Power [dBm],5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer1 UL BLER [%],5G KPI PCell Layer1 DL Layer Num (Mode),5G KPI PCell Layer1 DL Layer Num (Avg),5G KPI PCell Layer1 UL Layer Num (Mode),5G KPI PCell Layer1 UL Layer Num (Avg),5G KPI PCell Layer1 DL MIMO,5G KPI PCell Layer1 UL MIMO,5G KPI PCell Layer1 DL MCS (Mode),5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer1 UL MCS (Mode),5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer1 DL RB Num (Mode),5G KPI PCell Layer1 DL RB Num (Avg),5G KPI PCell Layer1 DL RB Num (Including 0),5G KPI PCell Layer1 UL RB Num (Mode),5G KPI PCell Layer1 UL RB Num (Avg),5G KPI PCell Layer1 UL RB Num (Including 0),5G KPI PCell Layer1 PDSCH Throughput [Mbps],5G KPI PCell Layer1 PUSCH Throughput [Mbps],5G KPI PCell Layer1 DL BWP ID,5G KPI PCell Layer1 UL BWP ID,5G KPI PCell Layer1 DL Modulation0 DL QPSK Rate [%],5G KPI PCell Layer1 DL Modulation0 DL 16QAM Rate [%],5G KPI PCell Layer1 DL Modulation0 DL 64QAM Rate [%],5G KPI PCell Layer1 DL Modulation0 DL 256 QAM Rate [%],5G KPI PCell Layer1 DL Modulation0 DL 1024 QAM Rate [%],5G KPI PCell Layer1 DL Modulation0 Representative Value,5G KPI PCell Layer1 UL Modulation UL Pi/2 BPSK Rate [%],5G KPI PCell Layer1 UL Modulation UL QPSK Rate [%],5G KPI PCell Layer1 UL Modulation UL 16QAM Rate [%],5G KPI PCell Layer1 UL Modulation UL 64QAM Rate [%],5G KPI PCell Layer1 UL Modulation UL 256 QAM Rate [%],5G KPI PCell Layer1 UL Modulation UL 1024 QAM Rate [%],5G KPI PCell Layer1 UL Modulation Representative Value,5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI PCell Layer2 MAC UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte,5G KPI Total Info DL CA Type,5G KPI Total Info UL CA Type,5G KPI Total Info Layer1 DL BLER [%],5G KPI Total Info Layer1 UL BLER [%],5G KPI Total Info Layer1 DL RB Num(Including 0),5G KPI Total Info Layer1 UL RB Num(Including 0),5G KPI Total Info Layer1 PDSCH Throughput [Mbps],5G KPI Total Info Layer1 PUSCH Throughput [Mbps],5G KPI Total Info Layer2 MAC DL Throughput [Mbps],5G KPI Total Info Layer2 MAC UL Throughput [Mbps],5G KPI Total Info Layer2 RLC DL Throughput [Mbps],5G KPI Total Info Layer2 RLC UL Throughput [Mbps],5G KPI Total Info Layer2 PDCP DL Throughput(+Split Bearer) [Mbps],5G KPI Total Info Layer2 PDCP UL Throughput(+Split Bearer) [Mbps]
0,2022-08-10 16:32:58.000000,-111.45295,40.788712,,,,,,,,,,,5G-NR_NSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.09,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
1,2022-08-10 16:32:58.642163,-111.45295,40.788712,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022-08-10 16:32:58.700000,-111.45295,40.788712,,,,,,,,,,,,,,12.0,Band 2,675.0,18675.0,15.0,15.0,-97.56,-7.44,-71.06,,,4.0,22.7,13.0,14.0,,,,,,TM4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 2,5G-NR Qualcomm,12.0,0.0,0.0,0.0,12.0,528990.0,2644.95,30kHz,0.0,12_0,0.0,-100.88,-10.38,13.05,0.0,-100.88,-10.38,Serving Beam,121.4,2.0,0.0,100.0,0.0,0.0,12.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,22.0,,,,0.0,,,1.0,1.0,,SISO,,,21.0,12.5,,,,3.0,3.0,,0.0,0.037,,0.0,,,,,,,0.0,50.0,0.0,50.0,0.0,0.0,64QAM,0.0,0.037,,,,,,UL NonCA,,0.0,,,0.0,0.037,0.0,0.037,,,,
3,2022-08-10 16:32:58.900000,-111.45295,40.788712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,30kHz,,,,,,13.64,,,,,120.0,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,
4,2022-08-10 16:32:59.000000,-111.45295,40.788712,,,,,,,,,,,5G-NR_NSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.45,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.01,0.01,,,,,0.0,,0.0,
5,2022-08-10 16:32:59.100000,-111.45295,40.788712,,,,,,,,,,,,,,12.0,Band 2,675.0,18675.0,15.0,15.0,-98.63,-8.63,-71.19,,,,22.2,13.0,14.0,,,,,,TM4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 2,5G-NR Qualcomm,12.0,0.0,0.0,0.0,12.0,528990.0,2644.95,30kHz,0.0,12_0,0.0,-98.61,-10.32,16.88,0.0,-98.61,-10.32,Serving Beam,117.0,2.0,0.0,100.0,0.0,0.0,10.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,21.0,9.0,,0.0,0.0,2.0,2.0,1.0,1.0,2x2_MIMO,SISO,17.0,17.0,21.0,12.5,8.0,8.0,,3.0,3.0,,0.04,0.178,0.0,0.0,0.0,0.0,100.0,0.0,0.0,64QAM,0.0,50.0,0.0,50.0,0.0,0.0,64QAM,0.04,0.178,,,,,DL NonCA,UL NonCA,0.0,0.0,,,0.04,0.178,0.04,0.178,,,,
6,2022-08-10 16:32:59.300000,-111.45295,40.788712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30kHz,,,,,,14.55,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,
7,2022-08-10 16:32:59.500000,-111.45295,40.788712,-111.45295,40.78871,15:32:58,6.0,113.0,113.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,
8,2022-08-10 16:32:59.600000,-111.452942,40.788738,,,,,,,,,,,,,,12.0,Band 2,675.0,18675.0,15.0,15.0,-95.88,-8.38,-68.69,,,5.0,23.8,12.0,14.0,,,,,,TM4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,
9,2022-08-10 16:32:59.700000,-111.452934,40.788769,,,,,,,,,,,,,,12.0,Band 2,675.0,18675.0,15.0,15.0,-95.56,-7.81,-68.75,,4.75,5.0,24.7,14.0,15.0,,,,,,TM4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,NonCA,,Band 2,5G-NR Qualcomm,12.0,0.0,0.0,0.0,12.0,528990.0,2644.95,30kHz,0.0,12_0,0.0,-102.13,-10.43,12.8,0.0,-102.13,-10.43,Serving Beam,120.5,2.0,0.0,100.0,0.0,0.0,9.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,21.0,8.0,,0.0,0.0,2.0,2.0,1.0,1.0,2x2_MIMO,SISO,15.0,15.0,21.0,12.5,8.0,8.0,,3.0,3.0,,0.022,0.178,0.0,0.0,0.0,0.0,100.0,0.0,0.0,64QAM,0.0,50.0,0.0,50.0,0.0,0.0,64QAM,0.022,0.178,,,,,DL NonCA,UL NonCA,0.0,0.0,,,0.022,0.178,0.022,0.178,,,,
10,2022-08-10 16:32:59.800000,-111.452934,40.788795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30kHz,,,,,,13.33,,,,,122.0,,,,,,,,,,,,,,20.0,,,,0.0,,,1.0,1.0,,SISO,,,21.0,21.0,,,,3.0,3.0,,0.0,0.019,,0.0,,,,,,,0.0,0.0,0.0,100.0,0.0,0.0,64QAM,0.0,0.019,,,,,,UL NonCA,,0.0,,,0.0,0.019,0.0,0.019,,,,
11,2022-08-10 16:33:00.000000,-111.452919,40.788849,,,,,,,,,,,5G-NR_NSA,,LTE Qualcomm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,0.001,,,,,,,,0.001,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.12,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.01,0.01,,,,,0.0,0.0,0.0,
12,2022-08-10 16:33:00.300000,-111.452904,40.788933,,,,,,,,,,,,,,12.0,Band 2,675.0,18675.0,15.0,15.0,-96.63,-8.47,-69.41,,,10.0,22.5,13.5,13.0,,,,,,TM4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 2,5G-NR Qualcomm,12.0,0.0,0.0,0.0,12.0,528990.0,2644.95,30kHz,0.0,12_0,0.0,-101.74,-10.59,14.59,0.0,-101.74,-10.59,Serving Beam,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,
13,2022-08-10 16:33:00.400000,-111.452896,40.788963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,5G-NR Qualcomm,12.0,0.0,0.0,0.0,12.0,528990.0,2644.95,30kHz,0.0,12_0,0.0,-100.7,-10.38,12.56,0.0,-100.7,-10.38,Serving Beam,119.67,2.0,0.0,100.0,0.0,0.0,9.5,0.0,1.0,100.0,0.0,0.0,0.0,0.0,21.0,8.0,,0.0,0.0,2.0,2.0,1.0,1.0,2x2_MIMO,SISO,17.0,17.0,21.0,15.0,8.0,8.0,,3.0,3.0,,0.038,0.055,0.0,0.0,0.0,0.0,100.0,0.0,0.0,64QAM,0.0,33.33,0.0,66.67,0.0,0.0,64QAM,0.038,0.055,,,,,DL NonCA,UL NonCA,0.0,0.0,,,0.038,0.055,0.038,0.055,,,,
14,2022-08-10 16:33:00.500000,-111.452888,40.78899,-111.45289,40.78899,15:32:59,9.0,114.0,114.0,31.58,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30kHz,,,,,,14.18,,,,,120.0,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,,0.0,0.0,0.0,
15,2022-08-10 16:33:00.600000,-111.452881,40.789017,,,,,,,,,,,,,,12.0,Band 2,675.0,18675.0,15.0,15.0,-95.81,-7.53,-69.56,,,14.17,25.9,13.5,11.5,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,NonCA,,Band 2,,,,,,,,,30kHz,,,,,,12.42,,,,,120.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,
16,2022-08-10 16:33:00.700000,-111.452873,40.789047,,,,,,,,,,,,,,12.0,Band 2,675.0,18675.0,15.0,15.0,-96.63,-8.43,-69.33,,,11.0,24.63,13.0,12.0,,,,,,TM4,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2022-08-10 16:33:00.900000,-111.452858,40.789101,,,,,,,,,,,,,,12.0,Band 2,675.0,18675.0,15.0,15.0,-96.63,-8.06,-69.63,,,10.0,24.1,13.0,11.0,2.0,0.0,100.0,0.0,0.0,TM4,13.0,,0.0,25.0,QPSK,64QAM,4.0,2.0,,,,,0.0,0.0,,,,,4.0,2.0,,,0.0,0.0,,,,,0.0,,0.0,0.0,NonCA,NonCA,Band 2,5G-NR Qualcomm,12.0,0.0,0.0,0.0,12.0,528990.0,2644.95,30kHz,0.0,12_0,0.0,-107.03,-10.92,10.91,0.0,-107.03,-10.92,Serving Beam,126.5,2.0,0.0,100.0,0.0,0.0,8.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,,,,,0.0,2.0,2.0,1.0,1.0,2x2_MIMO,SISO,13.0,13.0,4.0,4.0,8.0,8.0,,3.0,3.0,,0.0,0.512,0.0,0.0,0.0,0.0,100.0,0.0,0.0,64QAM,0.0,100.0,0.0,0.0,0.0,0.0,QPSK,0.0,0.512,,,,,DL NonCA,UL NonCA,,0.0,,,0.0,0.512,0.0,0.512,,,,
18,2022-08-10 16:33:01.000000,-111.45285,40.789131,,,,,,,,,,,5G-NR_NSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.74,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,0.01,,,,,0.0,,,
19,2022-08-10 16:33:01.100000,-111.45285,40.789158,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30kHz,,,,,,10.44,,,,,125.75,2.0,0.0,100.0,0.0,0.0,8.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,21.0,15.0,,0.0,0.0,,,1.0,1.0,,SISO,,,21.0,21.0,,,,3.0,3.0,,0.068,0.161,,0.0,,,,,,,0.0,0.0,0.0,100.0,0.0,0.0,64QAM,0.068,0.161,,,,,,UL NonCA,0.0,0.0,,,0.068,0.161,0.068,0.161,,,,
20,2022-08-10 16:33:01.300000,-111.452835,40.789211,,,,,,,,,,,,,,,,,,,,,,,,10.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,
21,2022-08-10 16:33:01.500000,-111.45282,40.789268,-111.45282,40.78927,15:33:00,12.0,112.0,112.0,31.72,1.0,2.0,,,,,12.0,Band 2,675.0,18675.0,15.0,15.0,-98.72,-8.13,-71.72,,,8.0,21.55,13.5,13.5,,,,,,TM4,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,NonCA,,Band 2,5G-NR Qualcomm,12.0,0.0,0.0,0.0,12.0,528990.0,2644.95,30kHz,0.0,12_0,0.0,-105.9,-10.73,11.17,0.0,-105.9,-10.73,Serving Beam,126.5,2.0,0.0,100.0,0.0,0.0,8.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,22.0,,,,0.0,,,1.0,1.0,,SISO,,,4.0,4.0,,,,3.0,3.0,,0.0,0.512,,0.0,,,,,,,0.0,100.0,0.0,0.0,0.0,0.0,QPSK,0.0,0.512,0.0,0.0,0.0,0.0,,UL NonCA,,0.0,,,0.0,0.512,0.0,0.512,0.0,0.0,0.0,
22,2022-08-10 16:33:01.700000,-111.452805,40.789326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,5G-NR Qualcomm,12.0,0.0,0.0,0.0,12.0,528990.0,2644.95,30kHz,0.0,12_0,0.0,-104.19,-10.77,10.51,0.0,-104.19,-10.77,Serving Beam,125.25,2.0,0.0,100.0,0.0,0.0,10.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,,,,,0.0,,,1.0,1.0,,SISO,,,4.0,4.0,,,,3.0,3.0,,0.0,0.512,,0.0,,,,,,,0.0,100.0,0.0,0.0,0.0,0.0,QPSK,0.0,0.512,,,,,,UL NonCA,,0.0,,,0.0,0.512,0.0,0.512,,,,
23,2022-08-10 16:33:02.000000,-111.452774,40.78941,,,,,,,,,,,5G-NR_NSA,,,12.0,Band 2,675.0,18675.0,15.0,15.0,-96.06,-6.69,-68.75,,,,23.2,14.0,11.0,,,,,,TM4,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 2,,,,,,,,,30kHz,,,,,,10.44,,,,,123.0,,,,,,,,,,,,,,22.0,,19.81,,,,,,,,,,,,,,,0.01,,,0.01,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.01,0.01,0.0,,0.0,,0.0,0.0,0.0,
24,2022-08-10 16:33:02.100000,-111.452766,40.789436,,,,,,,,,,,,,,12.0,Band 2,675.0,18675.0,15.0,15.0,-98.13,-7.88,-71.31,,,8.5,20.9,13.0,13.0,,,,,,TM4,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NonCA,,Band 2,5G-NR Qualcomm,12.0,0.0,0.0,0.0,12.0,528990.0,2644.95,30kHz,0.0,12_0,0.0,-103.87,-10.69,10.32,0.0,-103.87,-10.69,Serving Beam,123.0,2.0,0.0,100.0,0.0,0.0,11.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,22.0,,,,0.0,,,1.0,1.0,,SISO,,,4.0,4.0,,,,3.0,3.0,,0.0,0.512,,0.0,,,,,,,0.0,100.0,0.0,0.0,0.0,0.0,QPSK,0.0,0.512,,,,,,UL NonCA,,0.0,,,0.0,0.512,0.0,0.512,,,,
25,2022-08-10 16:33:02.400000,-111.452736,40.789524,,,,,,,,,,,,,,12.0,Band 2,675.0,18675.0,15.0,15.0,-93.19,-8.31,-66.13,,8.25,8.0,26.3,15.0,14.0,,,,,,TM4,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,NonCA,,Band 2,5G-NR Qualcomm,12.0,0.0,0.0,0.0,12.0,528990.0,2644.95,30kHz,0.0,12_0,0.0,-105.0,-10.53,10.06,0.0,-105.0,-10.53,Serving Beam,123.0,2.0,0.0,100.0,0.0,0.0,9.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,22.0,13.0,,100.0,0.0,2.0,2.0,1.0,1.0,2x2_MIMO,SISO,17.0,17.0,21.0,12.5,16.0,12.0,,3.0,3.0,,0.034,0.169,0.0,0.0,0.0,0.0,100.0,0.0,0.0,64QAM,0.0,50.0,0.0,50.0,0.0,0.0,64QAM,0.0,0.169,,,,,DL NonCA,UL NonCA,100.0,0.0,,,0.034,0.169,0.0,0.169,,,,
26,2022-08-10 16:33:02.500000,-111.452728,40.789551,-111.45273,40.78955,15:33:01,19.0,111.0,111.0,32.08,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,
27,2022-08-10 16:33:02.700000,-111.452705,40.7896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,30kHz,,,,,,10.35,,,,,123.0,,,,,,,,,,,,,,20.0,13.0,,0.0,,,,,,,,,,,,,,,,,,0.158,,,,,,,,,,,,,,,,,0.158,,,,,,,,0.0,,,,0.158,,0.158,,,,,
28,2022-08-10 16:33:03.000000,-111.452667,40.789673,,,,,,,,,,,5G-NR_NSA,,LTE Qualcomm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.001,0.0,0.001,,,0.0,,,,0.0,0.001,0.0,0.001,,0.0,,0.0,,,,,,,,,,,,30kHz,,,,,,10.82,,,,,123.0,,,,,,,,,,,,,,,,21.76,,,,,,,,,,,,,,,,,,0.01,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.01,0.0,,0.0,,0.0,0.0,0.0,
29,2022-08-10 16:33:03.100000,-111.452652,40.7897,,,,,,,,,,,,,,12.0,Band 2,675.0,18675.0,15.0,15.0,-96.34,-7.91,-69.5,,,9.0,23.7,14.0,12.5,,,,,,TM4,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,NonCA,,Band 2,5G-NR Qualcomm,12.0,0.0,0.0,0.0,12.0,528990.0,2644.95,30kHz,0.0,12_0,0.0,-102.7,-10.5,14.01,0.0,-102.7,-10.5,Serving Beam,121.0,2.0,0.0,100.0,0.0,0.0,9.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,22.0,,,,0.0,,,1.0,1.0,,SISO,,,4.0,4.0,,,,3.0,3.0,,0.0,0.512,,0.0,,,,,,,0.0,100.0,0.0,0.0,0.0,0.0,QPSK,0.0,0.512,,,,,,UL NonCA,,0.0,,,0.0,0.512,0.0,0.512,,,,
30,2022-08-10 16:33:03.300000,-111.452621,40.789749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
