,TIME_STAMP,Number of frames dropped,FPS,Frame drop percentage
0,2022-08-14 12:49:35,0,60.0,0.0
1,2022-08-14 12:49:36,36,60.0,60.0
2,2022-08-14 12:49:37,36,60.0,60.0
3,2022-08-14 12:49:38,0,60.0,0.0
4,2022-08-14 12:49:39,0,60.0,0.0
5,2022-08-14 12:49:40,0,60.0,0.0
6,2022-08-14 12:49:41,0,60.0,0.0
7,2022-08-14 12:49:42,0,60.0,0.0
8,2022-08-14 12:49:43,0,60.0,0.0
9,2022-08-14 12:49:44,0,60.0,0.0
10,2022-08-14 12:49:45,0,60.0,0.0
11,2022-08-14 12:49:46,0,60.0,0.0
12,2022-08-14 12:49:47,0,60.0,0.0
13,2022-08-14 12:49:48,0,60.0,0.0
14,2022-08-14 12:49:49,0,60.0,0.0
15,2022-08-14 12:49:50,0,60.0,0.0
16,2022-08-14 12:49:51,0,60.0,0.0
17,2022-08-14 12:49:52,0,60.0,0.0
18,2022-08-14 12:49:53,0,60.0,0.0
19,2022-08-14 12:49:54,0,60.0,0.0
20,2022-08-14 12:49:55,0,60.0,0.0
21,2022-08-14 12:49:56,0,60.0,0.0
22,2022-08-14 12:49:57,0,60.0,0.0
23,2022-08-14 12:49:58,0,60.0,0.0
24,2022-08-14 12:49:59,0,60.0,0.0
25,2022-08-14 12:50:00,0,60.0,0.0
26,2022-08-14 12:50:01,0,60.0,0.0
27,2022-08-14 12:50:02,0,60.0,0.0
28,2022-08-14 12:50:03,0,60.0,0.0
29,2022-08-14 12:50:04,0,60.0,0.0
30,2022-08-14 12:50:05,0,60.0,0.0
31,2022-08-14 12:50:06,15,60.0,25.0
32,2022-08-14 12:50:07,0,60.0,0.0
33,2022-08-14 12:50:08,0,60.0,0.0
34,2022-08-14 12:50:09,0,60.0,0.0
35,2022-08-14 12:50:10,0,60.0,0.0
36,2022-08-14 12:50:11,0,60.0,0.0
37,2022-08-14 12:50:12,0,60.0,0.0
38,2022-08-14 12:50:13,0,60.0,0.0
39,2022-08-14 12:50:14,0,60.0,0.0
40,2022-08-14 12:50:15,15,60.0,25.0
41,2022-08-14 12:50:16,0,60.0,0.0
42,2022-08-14 12:50:17,0,60.0,0.0
43,2022-08-14 12:50:18,0,60.0,0.0
44,2022-08-14 12:50:19,0,60.0,0.0
45,2022-08-14 12:50:20,0,60.0,0.0
46,2022-08-14 12:50:21,0,60.0,0.0
47,2022-08-14 12:50:22,0,60.0,0.0
48,2022-08-14 12:50:23,0,60.0,0.0
49,2022-08-14 12:50:24,0,60.0,0.0
50,2022-08-14 12:50:25,0,60.0,0.0
51,2022-08-14 12:50:26,0,60.0,0.0
52,2022-08-14 12:50:27,0,60.0,0.0
53,2022-08-14 12:50:28,0,60.0,0.0
54,2022-08-14 12:50:29,0,60.0,0.0
55,2022-08-14 12:50:30,0,60.0,0.0
56,2022-08-14 12:50:31,0,60.0,0.0
57,2022-08-14 12:50:32,0,60.0,0.0
58,2022-08-14 12:50:33,0,60.0,0.0
59,2022-08-14 12:50:34,0,60.0,0.0
60,2022-08-14 12:50:35,0,60.0,0.0
61,2022-08-14 12:50:36,0,60.0,0.0
62,2022-08-14 12:50:37,0,60.0,0.0
63,2022-08-14 12:50:38,0,60.0,0.0
64,2022-08-14 12:50:39,0,60.0,0.0
65,2022-08-14 12:50:40,0,60.0,0.0
66,2022-08-14 12:50:41,0,60.0,0.0
67,2022-08-14 12:50:42,0,60.0,0.0
68,2022-08-14 12:50:43,0,60.0,0.0
69,2022-08-14 12:50:44,0,60.0,0.0
70,2022-08-14 12:50:45,0,60.0,0.0
71,2022-08-14 12:50:46,0,60.0,0.0
72,2022-08-14 12:50:47,0,60.0,0.0
73,2022-08-14 12:50:48,0,60.0,0.0
74,2022-08-14 12:50:49,0,60.0,0.0
75,2022-08-14 12:50:50,0,60.0,0.0
76,2022-08-14 12:50:51,0,60.0,0.0
77,2022-08-14 12:50:52,0,60.0,0.0
78,2022-08-14 12:50:53,0,60.0,0.0
79,2022-08-14 12:50:54,61,60.0,101.66666666666666
80,2022-08-14 12:50:55,66,60.0,110.00000000000001
81,2022-08-14 12:50:56,0,60.0,0.0
82,2022-08-14 12:50:57,0,60.0,0.0
83,2022-08-14 12:50:58,0,60.0,0.0
84,2022-08-14 12:50:59,0,60.0,0.0
85,2022-08-14 12:51:00,0,60.0,0.0
86,2022-08-14 12:51:01,0,60.0,0.0
87,2022-08-14 12:51:02,0,60.0,0.0
88,2022-08-14 12:51:03,14,60.0,23.333333333333332
89,2022-08-14 12:51:04,0,60.0,0.0
90,2022-08-14 12:51:05,0,60.0,0.0
91,2022-08-14 12:51:06,0,60.0,0.0
92,2022-08-14 12:51:07,0,60.0,0.0
93,2022-08-14 12:51:08,0,60.0,0.0
94,2022-08-14 12:51:09,0,60.0,0.0
95,2022-08-14 12:51:10,0,60.0,0.0
96,2022-08-14 12:51:11,0,60.0,0.0
97,2022-08-14 12:51:12,0,60.0,0.0
98,2022-08-14 12:51:13,0,60.0,0.0
99,2022-08-14 12:51:14,0,60.0,0.0
100,2022-08-14 12:51:15,0,60.0,0.0
101,2022-08-14 12:51:16,0,60.0,0.0
102,2022-08-14 12:51:17,0,60.0,0.0
103,2022-08-14 12:51:18,0,60.0,0.0
